award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
267,,0u5K7xSRTLnBkeERwTypzN,9
268,,1DFD5Fotzgn6yYXkYsKiGs,9
269,,3ksIpMf8hNYWAyTiMZJ6Xb,9
270,,4GXnutk4q9KXJUgkGJcc4I,9
271,,4M0ezYulsUFJDrKk9d58y6,9
272,,1V8aPypxFrIk5TSa8E3qM0,9
273,,3Dk2StRqlP3JmXIY4aWyvA,9
274,,3c9IKwzgIPcCweCl9so748,9
275,,5UkM8D1WUBLvnXGRwt2lXI,9
276,,5fnndSCNEnRYozMDZr0gbU,9
277,,6qnULXVFGfFqPj0Hpj0tIG,9
278,,59Pm53KuA0xaLHcSAX94wk,10
279,,7i1DkDc2j0yVsSt3jjDvk3,10
280,,0FkQNNH3nCY7sXGfV7qs1p,11
281,,7rOcHMYABCWUrgZWzQoLem,11
282,,2mIla23uhGqqkdNtzqIg3r,12
283,,2pcwmk8c1pTYwX0COSVX52,12
284,,3AUW4YqukPw4YfBV1ZkkNe,12
285,,3CkjLJYnnyOtGk4Jx4iYS4,12
286,,5SaUkLu1jwrpDjN05blpFV,12
287,,5v8Fxy6Zw8gOzi802lpDOt,12
288,,6Uj1ctrBOjOas8xZXGqKk4,12
289,,2cCWbBmadLbKvr9xddC79R,12
290,,5KA6S4auXremQLoBIsKprz,13
291,,5qD3Qv8Wu3r5uRD0DahcZy,13
292,,1RTYixE1DD3g3upEpmCJpa,15
293,,23FvAAvnx3NzbTmMiod5nf,15
294,,47RdxOp686m51Z8QWf5DHp,15
295,,60a0Rd6pjrkxjPbaKzXjfq,15
296,,6qLOjFCDPQUHMtsdAMnUaH,15
297,,6zyrb7dW1IR4Hrc8nXJsln,15
298,,7q115ia4fQn9zonjpexWsY,15
299,,0WBNZ9HEz6QqiDuZ3BCehP,16
300,,2j1r3ubqqxuoTFaPVnTV1j,16
301,,1ZJFc8isFWKXtN1BlE20fX,17
302,,348MCvZbnPrsHkxq6w8cif,17
303,,42ifApJktyytpdvgkEy14t,17
304,,6WarP4oMloYg0Z8H8IHeDq,17
305,,6ncsVXsY8FaxpK5yg1eMHI,17
306,,0E5YSgxs1kQqC5vOhQN6B8,18
307,,3Dv1eDb0MEgF93GpLXlucZ,19
308,,46eK1kembooWblMi7M7yLM,19
309,,1a9rOeuuSEYpyRupt4D1Po,20
310,,3tJjZMHLqhD8DaGgdBICnc,20
311,,5gR8M5w1A7AzeAGZDf1Lqf,20
312,,3YhAZVvU1yeGo1l6aLK0V6,21
313,,4Dl15Nv5e6XdyzwG0hZbCJ,21
314,,2inOdpcpLUNsxeKaCbCg1r,22
315,,5HIMWb1gP286Vjpe3MrvhC,22
316,,0sJ4NbFdEhgLOtInlbRmFl,23
317,,1ZozJfi8u9cO2Ob8KwiwNT,23
318,,1hyArQROdqFiYRRRWbHJhW,23
319,,1lZi0ulnmx8lbFucUpMhnF,23
320,,2hbnyNOkpJ1kPyGsdEgXzd,23
321,,39lxs02zC9wpqB0sxufKKI,23
322,,4dX0aZedgPrxyhX4WBNQxP,23
323,,589SiueQ3yldZpKQMBGKk5,23
324,,7HXv3CYaZfL5PVtMAcJsmw,23
325,,7gfFqigmPAHrHt6c84b5cm,23
326,,3FQwvjvKnE3O4YKawVUNpA,23
327,,0rQ5lP1DQ0sxTlZqfbxYNP,24
328,,6hES6A4ZOL8MzYpULEfsoZ,26
329,,0Yu7xTujO7aKsVww6npA95,27
330,,2GN8Femwt83EIwInIuQj33,27
331,,3GJ4hzg4lrGwU51Y3VARbF,27
332,,7LgyKYscgD7wkzsLRRTTpd,27
333,,0Yu7xTujO7aKsVww6npA95,28
334,,2GN8Femwt83EIwInIuQj33,28
335,,3GJ4hzg4lrGwU51Y3VARbF,28
336,,7LgyKYscgD7wkzsLRRTTpd,28
337,,0RL85lThYJR9XA0fiVIly7,30
338,,7vPES8Tc2x2d6qBrSYFKvf,30
339,,4pXyK9GW7fuT645U0DLYYF,32
340,,5SfNJC5gLHSsyRKN04jVi3,32
341,,5gQK4CPNQXKqZyln88JGev,32
342,,75SixhsPWyRRmtqHeffiXr,32
343,,1wHZx0LgzFHyeIZkUydNXq,35
344,,5RyFj3DQSdT5ts8LbQIuwW,35
345,,79pt6GZwNggCPlZnFI6IcP,35
346,,0LyfNbnOzyPNc8QG8UBkmp,36
347,,5nsFJfYtAFZmL9PbtYKYcA,36
348,,1Umw3vhysHBodpBFpFsVgK,37
349,,1YnLthg0HOs8YTzgN5hVh2,37
350,,4ElNxglBjcrASiGn58t9Jm,37
351,,56F0unhysx1UXxboONkgd9,37
352,,6IA4ksaymdlYSdf3AoiWQb,37
353,,1b7E37BQouTJc7nf1HbIar,38
354,,2zIXd7qeMY696KKiJrk6r2,38
355,,3F9SGJzTCkqIS3d99iz0p7,38
356,,6qNSq6OKjNgXAn3Kj9HBKf,39
357,,2IPWIK1PH9ArgXTaKmk7Ly,39
358,,1NgM2SEuhj7pAzeVTF6Oe5,40
359,,61hO2ZrTkcOXNt8eBIMJX9,40
360,,2oGwrIrsnF05EAdyPecOVV,41
361,,6doUGUOIEIUlUTmAeAPxl7,41
