genre_song_id,track_id,genre_id
26934,1jfW9Ro29uuPlAUfnOqTVw,13
26938,1jh9aO4Cif0NDA300VezMd,12
26939,1jh9aO4Cif0NDA300VezMd,13
27012,1k1Bqnv2R0uJXQN4u6LKYt,41
27013,1k1Bqnv2R0uJXQN4u6LKYt,7
27161,1kgdslQYmeTR4thk9whoRw,38
27273,1lFHaHvZeLf6XrOqX6iLlS,77
27457,1m3BAsNsQAaSNMD2M6vlKY,102
27719,1nGbV5JylrjkgigRUWswqX,119
27720,1nGbV5JylrjkgigRUWswqX,108
27882,1ntwYN2nT0Dl3c8lne15ii,25
27883,1ntwYN2nT0Dl3c8lne15ii,46
28096,1op5LorZ180RXgHYr3S6PH,57
28097,1op5LorZ180RXgHYr3S6PH,58
28343,1puTLQ5v3ErYGIM8MwD1xs,96
28723,1rOmy0BEdNZfwR3UKomdWf,5
28788,1rgoyjAJ9LKTmg9id1KTDf,40
28883,1s1G7P7dp7M5v8Jo4ZikMT,109
29379,1tu8axV7vE0nmgYuTD09ny,89
29474,1uK6lSRKWd9T5FNBVp6CRY,104
29610,1utGlAQh8wU3KwibRWIYDN,64
30009,1wLQwg0mloy3yXjL0jPE0N,45
30076,1wb4P4F0sxAQ2KXrRvsx6n,89
30161,1wvs9V8xEJStRzx78lSNJK,109
30293,1xUl4v2uK0hi7ZT3fF7ZII,89
30381,1xqkbi0rZNNcbGv8r6kK8p,82
30382,1xqkbi0rZNNcbGv8r6kK8p,59
30383,1xqkbi0rZNNcbGv8r6kK8p,60
30384,1xqkbi0rZNNcbGv8r6kK8p,111
30607,1yegDiVa8d94H07ga1SLOt,102
30792,1zNXF2svmdlNxfS5XeNUgr,31
30793,1zNXF2svmdlNxfS5XeNUgr,33
30933,1zugfOhn6BebboqGcpUlba,2
31081,20Qqyt4bd1oe4KmkTagb2K,50
31087,20SGd8qUkKOBwoJ8LNUT0y,20
31088,20SGd8qUkKOBwoJ8LNUT0y,21
31504,21yCOhgaDMc0KEtxhZHTbI,6
31559,22An65gG31JLf9n18qjdhZ,18
31842,23EsgI4ZCW4ONfbFgyVjbl,104
31989,23tSVCziOnXVAyayQt0Bi7,51
32014,241A55np6HAqymEjP5CAiK,96
32075,24JrqCPlzo18UYTT9MRRy5,103
32076,24JrqCPlzo18UYTT9MRRy5,55
32143,24XFlHs0ZBM65KzvSsw4IF,83
32204,24tNhacN8vdN8OqkR7LcNm,83
32988,28NftaX1Z3CwSFkIEv5Mfj,2
33327,29bXfCo3mQVzohwPJXohaU,57
33328,29bXfCo3mQVzohwPJXohaU,58
33933,2C7PtVuG50IBrcUlTZ13ZG,77
33934,2C7PtVuG50IBrcUlTZ13ZG,17
34043,2CZ2f5buwvd9LCtHrrb0vl,18
34084,2CgQ5eYlfzPzuh1OKWaJuB,85
34469,2E9viCx0hJKNKNThd2MdGQ,52
34470,2E9viCx0hJKNKNThd2MdGQ,6
34512,2EKxmYmUdAVXlaHCnnW13o,52
34647,2Ey6v4Sekh3Z0RUSISRosD,38
34648,2Ey6v4Sekh3Z0RUSISRosD,99
34649,2Ey6v4Sekh3Z0RUSISRosD,100
34650,2Ey6v4Sekh3Z0RUSISRosD,89
34651,2Ey6v4Sekh3Z0RUSISRosD,92
34652,2Ey6v4Sekh3Z0RUSISRosD,27
34653,2Ey6v4Sekh3Z0RUSISRosD,101
34654,2Ey6v4Sekh3Z0RUSISRosD,57
34655,2Ey6v4Sekh3Z0RUSISRosD,58
34756,2FQviMkaoixlgWuGL4u1EO,54
34762,2FSkBDGsqZIxcsnKNgtMLx,52
34885,2Fxmhks0bxGSBdJ92vM42m,94
34998,2GN8Femwt83EIwInIuQj33,22
35120,2Gtk6whdqZOHx27Xdev1Nt,20
35121,2Gtk6whdqZOHx27Xdev1Nt,21
35335,2HoqbEOXgbDSLZ5XCePEXt,38
35336,2HoqbEOXgbDSLZ5XCePEXt,33
35337,2HoqbEOXgbDSLZ5XCePEXt,77
36493,2MgfxFG6RBfW4ivhwFtYoi,10
36787,2NiRVgM1SIqilCMRdLea8l,5
36855,2NyaaTM7BOAPQaFRIqdE4c,103
36856,2NyaaTM7BOAPQaFRIqdE4c,55
37245,2PaRgKXIroJJ351nwLmIe0,107
37254,2PcJoVkfjcbvoqBxV1Nj7y,50
38250,2TVLyjrb4R9rsPhmn6sXqf,102
38536,2UbVnbE5FH6008mAm6Mmgw,77
38537,2UbVnbE5FH6008mAm6Mmgw,17
38862,2VxeLyX666F8uXCJ0dZF8B,83
38986,2WQRPsMOrbeqms7JgmmVv3,52
38987,2WQRPsMOrbeqms7JgmmVv3,102
39046,2WihaIEZnX9dNRinCebwUj,52
39132,2X6wJzcIqx9Xl24HKZQFCs,46
39163,2XDJzMW1MUWeAIQoMOJeUj,59
39164,2XDJzMW1MUWeAIQoMOJeUj,60
39165,2XDJzMW1MUWeAIQoMOJeUj,71
39447,2YHIP0JrmNPJxwuUE45o7l,45
39955,2aMb1asq5acm7cDYlFsYhY,26
40106,2arir9Fflyqh00LWlOxaym,3
40107,2arir9Fflyqh00LWlOxaym,116
40163,2b5quz1xqBnmUeYYPdPkuS,2
40422,2cCmvbLleZaXRUinMmRaoY,77
40423,2cCmvbLleZaXRUinMmRaoY,17
40453,2cJDsHTLgDQvf5G73RCNX5,45
40454,2cJDsHTLgDQvf5G73RCNX5,42
40690,2d7IETCZDoUUboXVFimOv2,90
40691,2d7IETCZDoUUboXVFimOv2,91
