nominee_id,name,winner,grammy_event_id
351,kankyo ongaku japanese ambient environmental new age music 1980-1990,1,68
352,woodstock back to the garden - the definitive 50th anniversary archive,1,68
353,when we all fall asleep where do we go,1,69
354,all these things,1,69
355,ella mai,1,69
356,run home slow,1,69
357,scenery,1,69
358,finneas,1,70
359,jack antonoff,1,70
360,dan auerbach,1,70
361,john hill,1,70
362,ricky reed,1,70
363,i rise tracy young's pride intro radio remix,1,71
364,mother's daughter wuki remix,1,71
365,the one high contrast remix,1,71
366,swim ford remix,1,71
367,work it soulwax remix,1,71
368,lux,1,72
369,chain tripping,1,72
370,kverndokk symphonic dances,1,72
371,the orchestral organ,1,72
372,the savior,1,72
373,riley sun rings,1,73
374,aequa - anna thorvaldsdottir,1,73
375,bruckner symphony no 9,1,73
376,rachmaninoff - hermitage piano trio,1,73
377,wolfe fire in my mouth,1,73
378,blanton alspaugh,1,74
379,james ginsburg,1,74
380,marina a ledin victor ledin,1,74
381,morten lindberg,1,74
382,dirk sobotka,1,74
383,norman sustain,1,75
384,bruckner symphony no 9,1,75
385,copland billy the kid grohg,1,75
386,transatlantic,1,75
387,weinberg symphonies nos 2 21,1,75
388,picker fantastic mr fox,1,76
389,benjamin lessons in love violence,1,76
390,berg wozzeck,1,76
391,charpentier les arts florissants les plaisirs de versailles,1,76
392,wagner lohengrin,1,76
393,durufle complete choral works,1,77
394,boyle voyages,1,77
395,the hope of loving,1,77
396,sander the divine liturgy of st john chrysostom,1,77
397,smith k the arc in the sky,1,77
398,shaw orange,1,78
399,cerrone the pieces that fall to earth,1,78
400,freedom faith,1,78
401,perpetulum,1,78
402,rachmaninoff - hermitage piano trio,1,78
403,marsalis violin concerto fiddle dance suite,1,79
404,the berlin recital,1,79
405,higdon harp concerto,1,79
406,the orchestral organ,1,79
407,torke sky concerto for violin,1,79
408,songplay,1,80
409,the edge of silence - works for voice by gyorgy kurtag,1,80
410,himmelsmusik,1,80
411,schumann liederkreis op 24 kerner-lieder op 35,1,80
